vacancy_id,vacancy_name,salary_from,salary_to,currency,area
37115745,Python senior developer,180000,250000,RUR,Москва
38448140,Python Developer,,130000,RUR,Москва
38064239,Python developer (backend),,,,Ростов-на-Дону
37169502,Инженер по автоматизации тестирования / Python разработчик,,,,Москва
36267290,Python developer,150000,200000,RUR,Санкт-Петербург
37533024,Разработчик Python backend,,140000,RUR,Ростов-на-Дону
38037427,Senior Software Engineer (на Кипр),,,,Краснодар
37442366,Программист С++,170000,,RUR,Москва
37917042,Senior Data Analyst,,,,Алматы
37976941,Системный программист / Инженер-программист (R&D),,,,Москва
38246114,Backend Middle+,,,,Петрозаводск
38087861,DevOps Engineer,,,,Санкт-Петербург
37850303,Deployment engineer / DevOps,,,,Санкт-Петербург
37149720,"Senior Developer Tools Engineer, C++ & Qt",,,,Москва
36785450,Backend Developer,,,,Ижевск
37172128,Python-разработчик,,,,Москва
37980653,Аналитик (data science),,,,Санкт-Петербург
38324035,Senior Data scientist,,,,Москва
38491480,DevOps,,,,Омск
38461979,Стажер-разработчик Python,,,,Балашиха
38303440,Программист Python/Golang,,,,Смоленск
38305062,Разработчик в группу Robotics Process Automation,,,,Минск
36409905,Data Engineer,160000,200000,RUR,Москва
37583293,Senior python developer,,,,Москва
36497978,Python developer,80000,130000,RUR,Новосибирск
38251279,Backend-разработчик,100000,130000,RUR,Москва
38509580,Инженер-программист,,,,Зеленоград
38209764,Программист Python,130000,,RUR,Москва
38117540,Ведущий программист Python,45000,150000,RUR,Чебоксары
